question_language,term,sample_english,term_occurrences,n_questions
nyn,omwani,He is the only one who has the ability to give me a lot of skills and a willingness to give it all back to me.,96,91
nyn,embuzi,In my goats I've got other goats I've got other goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats,95,84
swa,wakati,"When planting tomatoes, what dose do you take from female to female?",93,77
swa,anauliza,"Robert asks, ""Are you on drugs or not?"" The answer to S25 is followed by your answer.",91,80
swa,mara,"I've planted the apples about three times but instead of biting, they are burning.",90,40
swa,aje,S Niko Chamba that the path of the mouse is everywhere I will close to come so that the mouse may visit again.,89,64
swa,wadudu,I don't want to know what the best remedy is to eliminate the parasites that are killing my potatoes.,89,76
swa,maziwa,S napier is what makes a cow drink more milk.,88,67
nyn,omubazi,Am I a maker of ebicoori to shake hands with a sculptor and a sculptor?,87,83
swa,ombe,What kind of cow eats 20 litres of milk a day?,86,74
swa,yangu,"Ng, my baby is five months pregnant and when am I going to stop?",86,72
swa,pata,"S,I can find the Kienyegi Cake Market.",84,68
swa,kufuga,"I'm trying to figure out what I'm going to do with this one, and I'm going to have 5,000 shillings.",83,46
swa,mbuzi,Who tries to be the Anausa goat of the sheep ?,80,58
nyn,enyanya,"E Ninye Kahesi Samson Nimbuze My Friend Kazatandika Kurabya Nimubaziki Ogunakubasa to buy to go by Zikahanguha Munyanse Bantumwe, who is also the head of the band.",79,74
swa,nzuri,What kind of good kind of cake can you make on the Busia side?,79,71
swa,naeza,The chicken feeds the head and then it is suitable for use with medication.,77,62
swa,soko,I am trying to find a way to save the world.,76,61
swa,ipi,Cow's milk can be treated with antibiotics so that you can eat and die quickly as a cow.,75,64
nyn,ninye,E Omuhingi Persona you are going to the umisiri of the chairs where you meet two women to buy a pair of shoes.,75,71
swa,lakini,"I've planted the apples about three times but instead of biting, they are burning.",73,58
swa,sukuma,Can you climb sukuma with salt water?,72,50
swa,miezi,"My pig is four months old, but I don't know what medication to take.",71,66
nyn,ngu,How can I have a good relationship with a poor person?,71,65
swa,mkulima,It's not enough for a farmer to feed a dog when he's still a kid.,70,50
swa,nauliza,I asked a young cow what medicine it would take to survive.,69,60
swa,ama,Is there any medicine or method of preventing nudge of those who eat it?,69,49
swa,mimi,"I am a farmer of Indian origin but if I have tuna, pingi and corn I can use it.",67,48
swa,iko,Q-iko is a mixture of sugura and mnisaiyekind to tell you the name of the drug.,67,57
swa,muda,"S, Bata Hulalia Mayai for months or weeks.",66,54
nyn,hati,I'm going to ask the district attorney (kanyobwa) about how we're going to organize our return trip.I'm Joshua Kyegegwa district.,65,62
swa,nina,What kind of chicken do I want to make? Nina Shamba Ndogo Nipande Mumea Why do I get so much fruit? Yes.,64,48
swa,sana,S. NN DAVA GANN INAYO CAN ALWAYS improve the lives of children in rural India.,64,52
swa,chakula,What kind of medicine do you mix with chicken food so that chickens are still young?,63,47
swa,gani?,P.S. What is the average day-to-day medical treatment?,63,56
nyn,konka,"In the past, we've had a lot of problems with our friends and colleagues.",62,55
swa,mbolea,S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S,61,49
nyn,nkoreki,And now the goats are trying to get a drink like a cockroach.,61,58
swa,shamba,"Tom asks: ""Will I go to the top, to the countryside after we play, or help each other out?""",61,46
nyn,kuhinga,I'm going to fight the war and start with nothing.,61,58
swa,mmea,What is the best way to grow Miraa seedlings quickly without compromising the quality of the seedlings?,60,33
swa,mimea,There are a lot of bees in my farm. what should I do now?,60,35
swa,mzuri,I don't want to know what the best remedy is to eliminate the parasites that are killing my potatoes.,58,54
nyn,mwebare,"I'm not sure if I'm going to be able to do it, but I'm not going to be able to do it, I'm not going to be able to do it, I'm not going to be able to do it, I'm not going to be able to do it, I'm not going to be able to do it, I'm not going to be able to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it.",56,53
nyn,zingahi,E How many yellow-bellied blackheads do you have?,55,53
swa,nini?,S MOSES ANSWER:What are your chicken and blacksport oral medicines?,54,42
swa,ugonjwa,Can this deadly foot-and-mouth disease be controlled in any way?,54,38
nyn,zangye,"These are my horses and my clothes, we see a woman here. Ah, my father's wife. And she, my friend Kuzirakira Kuoma, is a good friend.",53,49
nyn,empunu,Should I use the client if I have to wear a bracelet?,52,42
nyn,ebicoori,Am I a maker of ebicoori to shake hands with a sculptor and a sculptor?,51,47
swa,zangu,Why don't my chickens lay more than ten eggs?,51,46
nyn,kuruga,E and Mugabe T Kuruga  Mubende Ninyeda Ten Governments and I wish Aharizigahi.,50,48
swa,ikifuatiwa,Faith asks: a robotic vaccine for chicken answer S125 followed by your answer.,50,44
nyn,nyowe,I'm the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one.,49,44
swa,siku,A day in the life of Ghana and Benin.,48,37
nyn,obutunda,Why do I have to be religious or religious?,48,40
swa,kujua,"S, I'd like to know when both of them are.",48,34
swa,yake,Q. Give me his number so that Brian can tell you for himself.,48,44
nyn,yangye,Is it easy to remember how many times I've had to eat too much?,47,46
nyn,emondi,E# Question Obukoko Obukurya Emondi Below Ebitakuri Nimbwitisa The customer is called,47,43
swa,nitapata,I'm going to get a master's degree from the Niko County School District.,47,36
swa,baada,S tapataje soko la French beans after planting.,46,38
nyn,obuyambi,"In the aid of construction, there is no shortage of seeds.",46,45
swa,mboga,A friend of mine helped me buy a fertilizer for my mchicha vegetables.,46,26
swa,ndio,I want to be a chicken and chicken.,46,40
nyn,mbwenu,In my goats I've got other goats I've got other goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats,45,42
nyn,ebicori,Wouldn't you like to have time to prepare such a meal?,45,39
nyn,mubaziki,Should I use the client if I have to wear a bracelet?,45,44
swa,kiasi,And thank you John for your prayers.,44,26
swa,bei,The seeds of French beans are very expensive and expensive.,44,38
swa,ngani,What kind of chicken do I want to make? Nina Shamba Ndogo Nipande Mumea Why do I get so much fruit? Yes.,43,34
nyn,ebeyi,And now I'm going to go to the local fisherman's club in our district of Kabul.,43,43
swa,maindi,My maindi in the fields are heavily attacked by caterpillars.What is the best medicine I can use to kill these insects?,43,34
swa,panda,S bona uki panda maidi harvests its crops when it reaches its peak.,43,39
swa,vizuri,Do you have a visa to visit?,42,33
nyn,naba,Naba Nimbuza has asked to build an emergency shelter.,42,39
swa,lako.,Faith asks: a robotic vaccine for chicken answer S125 followed by your answer.,42,36
swa,ina,"I am a farmer of Indian origin but if I have tuna, pingi and corn I can use it.",42,35
nyn,mubazi,E EITI OUKONKO is a book about education and training.,42,41
swa,nko,S. There's only one question!,42,32
nyn,kumanya,How do I know why I'm here and why I'm here?,41,36
swa,wiki,KADJA ANAULIZA NIDAWA GHANI UNIZED SUMMARY This week is a week of violence against women and girls.,41,36
swa,kulima,"I am a grandmother's farmer, a farmer and a chicken and turkey farmer,",41,21
swa,maharagwe,What causes mashimoshimo in beans?,40,32
swa,kwenye,What is the benefit of giving flowers to the eggplant?,40,33
swa,swali,s.niulize the question.,39,36
swa,kunde,S:NAWEZA PAN GANDI GANDI from the heart of this KIDOGO river.,39,21
nyn,waba,Have you ever wanted to do something that would make you feel better and make you feel better?,38,37
nyn,kwonka,I'm the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one.,38,33
nyn,omuhingi,E#HUMAN WORKING IN THE WORLD OF GOD AYOHEREZA'S WITNESS WITNESS THE WORLD RIMMER and the name of Jesus and the name of YABA ARAGUZA and ANACLET RUHIJA RUBANDA DISTRICT webare 0756761107,37,33
nyn,nta,E. Nimbaasa is no match for coffee twig borer and is no match for ALEX IBANDA.,37,35
swa,nitatumia,Niko and his grandmother began to give flowers which poison they would use.,37,28
swa,kuwa,"When a cow gets sick and that causes it to become a cow, isn't it just a cure?",36,30
swa,county,I'm going to get a master's degree from the Niko County School District.,36,28
swa,mazao,S.MIMI MAZAO NIYOKUZA and MATA and KIDOGO where we have planted stones like mountain trees.,36,29
swa,mvua,What effect does acid rain have on plants?,36,32
swa,ambayo,S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S,35,29
swa,kuzuia,Is there any medicine or method of preventing nudge of those who eat it?,35,25
nyn,akatare,How do I know why I'm here and why I'm here?,35,33
nyn,muhogo,E Muhogo Erikwera Juba Eyomurembe Neyerera Bwire Ki ???.,35,32
swa,ndama,JOY ANNAULIZA MY JOY is NOT to be confused with my mother and my brother.,35,23
swa,maji,Can you climb sukuma with salt water?,35,27
swa,upi,"When a lamb is slaughtered, what kind of milk is used, and what kind of device is used to cut it?",35,29
nyn,omuri,E watermeroni eggplant by Amos omuri the eagle.,34,34
nyn,nibuza,"E,nibuza Nti Orume Oruhango Ndugurazigai Niga Tibabugura.It was written by Jonan Mitooma D, Garukamu, and E.Ahakutadika Kw""Besage.",34,34
nyn,nimbasa,"E Nibuza Anbuzi Eratanaka Nimbasa,kugyihakyi, Kagyiha Omubazigwenjoka Nagyitera is also a member of the Vitamin C family.",34,33
nyn,ninga,"I'm going to hell, but I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell!",34,30
swa,miti,"S,Moneya is also used to make plants because I let the trees burn??",34,19
swa,ndizi,"QUESTION 89Where did you get the key to the cupboard?NIKO KISUMU, S94.",34,23
swa,sasa,"I want to feed my cow close to giving birth Natena Hako with so many minutes Now what can I do just for a week,",33,28
swa,nauza,S nauza 1k each.,33,27
nyn,kamwenge,E Kerebu Kuruga Kamwenge Nimbuza and then Ferru Water Meron and Omwitaka Neyerera for several months.,33,32
swa,kuanza,"I'm trying to figure out what I'm going to do with this one, and I'm going to have 5,000 shillings.",33,24
nyn,ota,Enoch is the father of the family.,33,30
lug,kasoli,E# LUKENGE INNOCENT DAGALA and RYE NKOZESA have been killed by KASOLI.,33,24
swa,kila,"I am a mother of love and joy, and I love blood every day of my life.",33,25
swa,nitumie,Swali.my turkey leaves are black and white and what kind of medicine should I use?,33,31
nyn,nimpinga,What is the opposite of Orukoko Rwesano Nimurutambizaki?,33,25
swa,gan,What if I hadn't gotten all six of them?,32,27
nyn,nikiretwaki,Why do I have to be religious or religious?,32,31
nyn,yaba,E#HUMAN WORKING IN THE WORLD OF GOD AYOHEREZA'S WITNESS WITNESS THE WORLD RIMMER and the name of Jesus and the name of YABA ARAGUZA and ANACLET RUHIJA RUBANDA DISTRICT webare 0756761107,31,30
swa,bora,It's a great way to improve your health and well-being as well as improve your health and well-being.,31,30
swa,kutumia,What techniques can I use to cut down a tree without cutting it down as an adult?,31,24
swa,nimepanda,"I've planted the apples about three times but instead of biting, they are burning.",31,25
swa,gunia,Q sunflower gunia huzwa aje?,31,29
swa,huwa,"What kind of medication can infect the parasites that grow corn plants, even if we try to preserve the medication, but it doesn't work?",31,23
nyn,aha,Who is the prophet ishair to tell us the name of the bird and uncover the head of a man who has been shot in the back and hit his head in the head?,30,27
swa,pia,Do you also want to know the Nazi matumiz and its benefits and zip?,30,21
swa,tumia,S. J. NIKITAKA NAEZA is the only one who has ever lived.,30,26
swa,namba,I want the number of nancy mm and m toka vihiga county.,30,20
swa,matawi,"I've used D,A,P, but what do I do with all the branches?",29,25
nyn,negura,What is the Endambe Yebihimba Negura Ziganhi? by Robert N.,29,29
swa,unaweza,What kind of good kind of cake can you make on the Busia side?,29,27
nyn,ibanda,E.I'm using a bus to give a call to the akakooko for coffee twig borer.,28,28
swa,kani,Q: Is there any evidence that you're doing the right thing?,28,25
swa,cha,"My cow, which produces juices, will have to pump up the juice to increase the milk level.",27,16
nyn,hamwe,"And wherever my legs are equal in size, I walk around with Zoona Ninkoraki.",27,20
swa,bata,"S, Bata Hutaka  May not every day or is there a day like today?",27,22
swa,kitunguu,Q:Which leaves or roots?,27,18
swa,inafaa,In which month is corn suitable for planting?,26,22
nyn,obwire,Why have I been ill for so long?,26,26
swa,wapi?,S#CEMENT IN THE HEAVEN. where is the path to victory?,26,19
swa,ikiwa,What kind of disease of the tomato causes the rot of the tomato if the spider is fertile after the tomato if it is still young?,26,19
swa,nitafanya,Do I need to get some coffee now?,26,18
swa,mimba,"Ng, my baby is five months pregnant and when am I going to stop?",26,25
lug,nga,It's not like my grandmother's grandmother was dying of a fever .,26,20
swa,huu,Can this deadly foot-and-mouth disease be controlled in any way?,26,26
swa,ufugaji,Do I need sugura juice to make it?,26,11
nyn,district,And now I'm going to go to the local fisherman's club in our district of Kabul.,25,23
swa,kupata,I CAN get it from wherever I want it.,25,19
swa,vitunguu,How long should the egg be soaked in oil?,25,18
swa,katika,There are a lot of bees in my farm. what should I do now?,25,20
swa,sehemu,S.Who is Ako with the rabbit to sell a piece of kericho??,25,22
swa,shambani,"They want to kill fuko in my company, but they don't want me to.",25,19
lug,nze,"E Buuz Ku Colonial Coffee ,robaster Coffee,arabica Emwanyi Ki Esinga Okubala and Nakatale and Nze Hagenya Hatibu are also available.",25,19
swa,macho,S. I'm looking for my chicken that's full of eyes to grow.,25,22
swa,yenye,What kind of good kind of cake can you make on the Busia side?,25,23
nyn,kutunga,"And I wanted to make a goat for a goat, so I knew how much Allan wanted.",25,25
swa,maua,Niko and his grandmother began to give flowers which poison they would use.,25,23
swa,ng'ombe,"When a cow gets sick and that causes it to become a cow, isn't it just a cure?",25,22
swa,ningependa,I would like to see a second meeting of the we farm community.,25,22
swa,msimu,"What are some good potato seeds to plant this season,",25,24
swa,mda,And I'm going to have to decide whether to live or die.,25,21
swa,haraka,Cow's milk can be treated with antibiotics so that you can eat and die quickly as a cow.,24,18
nyn,nkozese,Should I use the client if I have to wear a bracelet?,24,24
swa,inaweza,How many days after the egg is removed can it be stored?,24,20
swa,upande,"If I am on the Thika side, what kind of vegetables will I plant and grow well?",24,13
swa,mwezi,Is it possible to deworm an infected animal before the onset of the disease?,24,21
swa,vya,"Q. Are you looking for Guinea fowl, geese, pigeons, quails, and what are you looking for?",24,18
swa,kutoka,"When planting tomatoes, what dose do you take from female to female?",24,20
nyn,amahuri,"E taremwa samuel nimbuza is a chicken of the chicken family that produces one or two eggs, one or two eggs, and one or two eggs.",24,22
swa,ukitaka,"I'd like to ask you, if you want to own a frieshian cow, what's the best thing to do with it?",24,18
swa,kuweka,"What kind of medication can infect the parasites that grow corn plants, even if we try to preserve the medication, but it doesn't work?",24,19
swa,vipi,Is it possible to have a spinach that has been given to a nurse or a nurse?,23,21
swa,tena,"When you go to bed, how much does it take to get well and how much does it take to get to bed?",23,16
nyn,yebihimba,The Bible teaches us to live in harmony with God's Word.,23,22
swa,wefarm,Wefarm's eggs and shilling caps.,23,22
nyn,embibo,Do I want to buy a diamond in the rough?,22,21
swa,ambaye,"My cow, which produces juices, will have to pump up the juice to increase the milk level.",22,19
swa,kondoo,And there are soaps to clean up the mess and the heart of the European Union.,22,19
swa,mbwa,It's not enough for a farmer to feed a dog when he's still a kid.,22,21
swa,nifanye,"I asked when to plant an onion, what should I do to get that part of the plant?",22,18
swa,kutaga,How many months does it take to complete and how many months does it take to complete?,22,19
nyn,ekibuzo,E# The question is Kiro Yapopukoni Nishiring Zingahi.,22,20
nyn,obuhabuzi,Wefarm E Ninye is a breeding ground for chickens and ducks.,22,19
swa,mbili,"Two weeks' worth of money, what food can I feed myself?",22,20
swa,ana,Nina is a three-year-old freshman cattle breed with a small body and skin that's covered with silky fur.,22,19
nyn,nizingahi,How many mixing hearts do you have?,22,22
nyn,water,Is the water melon ready for Christmas?,22,15
nyn,munonga,"In addition to KUNU KWG, we have been given the opportunity to work with the NAZO ZITITANDIRES to work with the UNITED STATES OBURWAIRE BENTE NGUNI KYIFURUTO, OMBAZI NIGUHA DAMYANO TUMUHIMBISE KWG D.",22,18
swa,nyuki,"Wefarm, a honey bee that has no missiles is available where the answer is followed by your answer.",22,15
swa,kulalia,The best way to do this is to make sure that you're able to stay healthy and healthy.,22,15
swa,nani,Who tries to be the Anausa goat of the sheep ?,21,17
swa,sijui,Q:Why do I have 500 cookies and 300 eggs so I don't know how to share the market?,21,15
swa,nafaa,"If yes, when is the best time to leave the farm to produce seed?",21,10
swa,ako,S.Who is Ako with the rabbit to sell a piece of kericho??,21,18
swa,hapa,It's a drug that's been used by so many of us here.,21,19
nyn,rubanda,E#HUMAN WORKING IN THE WORLD OF GOD AYOHEREZA'S WITNESS WITNESS THE WORLD RIMMER and the name of Jesus and the name of YABA ARAGUZA and ANACLET RUHIJA RUBANDA DISTRICT webare 0756761107,21,20
nyn,bya,How many mixing hearts do you have?,21,20
nyn,nibigura,How many fruits and vegetables do you have?,21,21
swa,mtu,Can one ask the question of his body?,21,18
swa,hii,"If you want money, you need to make this phone only 0721316517 Yani 90 Bob Tu Ni Wa Week 2 Pia Niwa Kienyeji.",21,20
swa,pesa,The price of a kienyeji chicken can be as high as Gagi per kg.,21,17
swa,wakiwa,Cow's milk can be treated with antibiotics so that you can eat and die quickly as a cow.,20,16
swa,tatu,S.I.P.S. THREE THINGS you can choose between love and love.,20,16
nyn,bwenu,E: Ente Yangye Eine Eshundo Zizimbire Ahamaisho Bwenu Nkoreki is also available.,20,18
swa,langu,There are a lot of bees in my farm. what should I do now?,20,17
nyn,kurisa,"NINYEDA KURISA, ENKOOKO AND EPUNU MUMPE OBUHABUZI FUNUKA is written and directed by NB,KAMARA,DANIEL.",20,16
swa,maembe,S In what particular season are almonds available in large quantities?,20,16
swa,mengi,It's a lot of fun and it's a lot of fun.,20,16
nyn,mungambire,I'm going to talk to a coach who's playing the drawing board.,20,19
nyn,emwe,"I'm going to hell, but I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell!",20,19
swa,nikitaka,"If I want my money to be cooked, how can I do it?",20,17
nyn,koreki,I'm playing the bible with one hand and I'm walking with two hands.,20,20
nyn,mbuza,He asked me the name of Bicori.,20,16
swa,akiwa,"S, ELIJAH NAULIZA did not know what to say about the Yambuz as Navidoda said,",20,18
nyn,ninyeda,"NINYEDA KURISA, ENKOOKO AND EPUNU MUMPE OBUHABUZI FUNUKA is written and directed by NB,KAMARA,DANIEL.",19,17
nyn,enkooko,E Nimbashaba Mungambire  How can you grow Enkooko Zenyankore with the help of a healthy diet.,19,17
nyn,nabuza,Euhingi nabuza is a tree that has been grafted or joined with grafted Eitaka rishemerire flavor?,19,17
swa,pili,I raised my cow and Ai didn't even need a goat for the second Mara.,19,9
swa,anafaa,"S Cow of frieshia ukimpatia all needs, is it appropriate to give you how many liters of milk per day? by farmer Michael.",19,16
swa,mingapi,How many months does it take to complete and how many months does it take to complete?,19,19
nyn,owa,"E MUHIGI O OUROTOKYE, NAYETAGA EBIRISA, INKA AMASH, NAGA AMATOTO, AMAHURUNGURU, and KONKA have also been written and directed.",19,19
nyn,orutokye,E Mumpabure Omubazi Gwakajunde Ensisire Orutokye Emitumba Nehisa Endeere Eyoma is also a member of the Board of Directors.,18,15
nyn,kyenjojo,E Nibuza Ebende Eye Grandmother Shemerire Confirmation Mibazikyi Guhana Cave Di Rogers was born from a dream.,18,17
swa,nyumba,S.naeza where to find ready nested rabbit houses.,18,13
nyn,oburo,It's a great way to get to the top of the food chain.,18,14
swa,minyoo,"I want to feed my cow close to giving birth Natena Hako with so many minutes Now what can I do just for a week,",18,15
swa,how,"how can i do this cultivation of spinach, suukuma,telele,managu and kitunguu using sand mangunia",18,14
swa,miaka,How long is the cookie suitable for?,18,17
swa,miwa,And what else will it take to save your life?,18,13
swa,mbona,Q. Why didn't you send me a message about where I came from?,18,17
swa,kilo,Q. How much can a pound of powpow cost?,18,15
swa,saumu,Where is Kitunguu saumu grown in Kenya?,18,9
swa,mwaka,Q SEHEM is awarded once a year and is awarded annually by MMEA GAN.,18,10
swa,pojo,"I've planted Pojo and it's not raining in the Delta, what should I do?",18,6
swa,maidi,It's a good remedy to get rid of rotting grass when planting maidi nipi.,17,10
nyn,amezi,"So, how many months does the baby's well-being last?",17,16
lug,njagala,E Bwemba Njagala Ensigoza Apple is looking for a way out.,17,8
swa,poa,"This is the time when it will not grow poa by planting tomatoes, or it will reach kiangaz.",17,14
swa,natafuta,"I'm looking for a vegetable market such as suja, sukuma and kunde.",17,13
swa,mingi,What kind of rain did the pandas have to pay for this time of year?,17,13
nyn,mumpabure,E Mumpabure Omubzi has joined forces with Yomitumba.,17,16
nyn,ekoko,I've been using the wisdom to build an ecosystem for years.,17,16
nyn,noyenda,Have you ever wanted to do something that would make you feel better and make you feel better?,17,17
nyn,gwangye,Do I want to give you a name because my friend has taken away your talents?,17,17
nyn,zagye,"And the goats were zeine in red, and they were filled with cranberries.",17,16
nyn,buri,E omuzono nigubaho in the back of the room.,17,14
nyn,okuhinga,"What is the relationship between manure and manure, and what is the relationship between manure and manure?",17,13
nyn,nobasa,How can you protect the Egyptian? 0703459737,17,14
swa,baridi,S. Sukuma's medicine is cold-rolled!,17,14
swa,malenge,Q What medication should I use for the branches of malenge and white fluid?,17,5
swa,kufuka,"S,NAULISA,Will you be able to live a life of zero grass today?",16,8
swa,nipate,I'm going to have to pick up some chicken so I can get some chicken eggs.,16,12
swa,bado,What kind of disease of the tomato causes the rot of the tomato if the spider is fertile after the tomato if it is still young?,16,16
nyn,eshaho,E:hiika (1) Niharugamu Eshaho Zingahi Zingahi and Ebihimba beans).,16,16
swa,kutoa,Niko and his grandmother began to give flowers which poison they would use.,16,16
nyn,obukoko,E# Question Obukoko Obukurya Emondi Below Ebitakuri Nimbwitisa The customer is called,16,14
nyn,zine,What kind of assistance do other farmers use to help their customers?,16,13
nyn,munyambe,E And a six-pointed star deserves to be how many feet in height.,16,14
nyn,kyi,What is the best place to live and what is the best place to live?,16,15
swa,mahidi,I asked him what kind of medicine to sprinkle with thanksgiving.,16,13
swa,ndani,Q. How can I get a gun in my house?,16,13
swa,jinsi,"S, how do you do that, how do you do that?",16,14
swa,pilipili,Can the pepper be planted as corn or as a mustard seed?,16,8
nyn,amababi,It is in this way that the father is brought up in the family .,16,16
swa,kufa,Cow's milk can be treated with antibiotics so that you can eat and die quickly as a cow.,16,14
swa,ndege,"Pimples were taken by airplanes, what should I do???",16,8
swa,nguruwe,I have a lot of eyes and a lot of mouths.,16,13
swa,hoho,"When you go to bed, how much does it take to get well and how much does it take to get to bed?",16,9
nyn,wefarm,Where are the WEFARM offices used?,15,14
