question_id,question_content,question_language,question_topic,question_user_country_code,question_sent,translated_en
3849327,E Alex Omwani Tigukakwata Enjura Hasigireyo Nkye Orinde Okwezi Kwakabiri Enjura Yangwa,nyn,coffee,ug,2017-11-22 12:38:10+00:00,E Alex Omwani Tigukakwata Enjura Hasigireyo Nkye Orinde The second month of Enjura Yangwa
3849328,S. DAWA YA VIFARANGA YA KWANZIA SIKU MOJA NI GANI NA BEI GANI?,swa,chicken,ke,2017-11-22 12:38:14+00:00,P.S. What is the average day-to-day medical treatment?
3849354,E Habwekii Emondizirababuka Ningakusa Amababi Nimubazikii Gutwobasa Kukoresa,nyn,,ug,2017-11-22 12:39:35+00:00,E Habwekii Emondizirababuka Ningakusa Amababi Nimubazikii Gutwobasa is also known as Kukoresa.
3849376,s kupe wa ngombe wanaweza tibiwa na dawa ipi ili wawe kuisha na kufa kwa haraka wakiwa wamevamia ngombe,swa,cattle,ke,2017-11-22 12:41:54+00:00,Cow's milk can be treated with antibiotics so that you can eat and die quickly as a cow.
3849381,S je mahindi yakishamea inafaa nimwage hiyo mixture baada ya muda gani?,swa,maize,ke,2017-11-22 12:42:07+00:00,"How long after the mixture is mixed, is the maize suitable?"
3849452,E# OMUHINGI OWANJIRA NGU AINE ENTAAMA ZENJUNGU AYOHEREZE OBUTUNWA OMWANYA RWARIMU NENAMBA YESIMU NAMAZIINA YABA ARAGUZA  ndi ANACLET RUHIJA RUBANDA DISTRICT webare 0756761107,nyn,sheep,ug,2017-11-22 12:48:36+00:00,E#HUMAN WORKING IN THE WORLD OF GOD AYOHEREZA'S WITNESS WITNESS THE WORLD RIMMER and the name of Jesus and the name of YABA ARAGUZA and ANACLET RUHIJA RUBANDA DISTRICT webare 0756761107
3849452,E# OMUHINGI OWANJIRA NGU AINE ENTAAMA ZENJUNGU AYOHEREZE OBUTUNWA OMWANYA RWARIMU NENAMBA YESIMU NAMAZIINA YABA ARAGUZA  ndi ANACLET RUHIJA RUBANDA DISTRICT webare 0756761107,nyn,passion-fruit,ug,2017-11-22 12:48:36+00:00,E#HUMAN WORKING IN THE WORLD OF GOD AYOHEREZA'S WITNESS WITNESS THE WORLD RIMMER and the name of Jesus and the name of YABA ARAGUZA and ANACLET RUHIJA RUBANDA DISTRICT webare 0756761107
3849454,S Dawa ya kuaa konokono ni gani wamekua wengi sana hapa kwetu,swa,,ke,2017-11-22 12:48:50+00:00,It's a drug that's been used by so many of us here.
3849462,S je eka moja na nusu inafaa nipandie D A P kiazi gani?,swa,potato,ke,2017-11-22 12:49:10+00:00,S is one and a half acres worth a nipandie D A P what is it?
3849468,Q-iko dawa ya minyo kwa sugura na mnisaiyekuniambia jina ya dawa.,swa,rabbit,ke,2017-11-22 12:49:38+00:00,Q-iko is a mixture of sugura and mnisaiyekind to tell you the name of the drug.
3849471,E Nimubaziki Gu Orafuhiriza Enyanya Zitaragarike Oburabyo Bwena Bukagumamu.,nyn,tomato,ug,2017-11-22 12:49:51+00:00,The Nimubaziki Gu  Orafuhiriza Friendship Zitaragarike Oburabyo is also Bukagumamu.
3849473,"S,naweza Pata Soko La Kuku Wa Kienyegi",swa,chicken,ke,2017-11-22 12:49:58+00:00,"S,I can find the Kienyegi Cake Market."
3849473,"S,naweza Pata Soko La Kuku Wa Kienyegi",swa,poultry,ke,2017-11-22 12:49:58+00:00,"S,I can find the Kienyegi Cake Market."
3849485,E edagala lino telikossa mukyele.mbuuza sulaiman,lug,,ug,2017-11-22 12:51:17+00:00,E edagala lino telikossa mugyele.i asked sulaiman about this.
3849507,S N dawa gany ya kuwajanja kuku ili wasigonjeke,swa,poultry,ke,2017-11-22 12:53:03+00:00,It's a good idea to cook a chicken so it doesn't have to be cooked.
3849513,"E ENTE OKUNGIRA OBURONDA AHA'RUNGURU YEBWARA,AMANGURU ,AHA'KYISIRA .NIBURWIREKI",nyn,cattle,ug,2017-11-22 12:53:47+00:00,"And how to win the world A'RUNGURU YEBARA, AMANGURU, A'HA'KYISRA.NIBURWIREKI is born."
3849526,"E, Agnes waba.noyeda kuhiiga ezobwina niga ezamahabira reeru kugabire",nyn,,ug,2017-11-22 12:54:59+00:00,"Yes, Agnes was.noyeda where to find the winner and who to find reeru kugabire."
3849554,E Ebihimba Bya Mix Nizingahi?,nyn,bean,ug,2017-11-22 12:57:04+00:00,How many mixing hearts do you have?
3849616,"S,NAULISA,NATAKA KUFUKA NGOMBE YA ZERO GRASING NIFANYAJE?",swa,cattle,ke,2017-11-22 13:01:41+00:00,"S,NAULISA,Will you be able to live a life of zero grass today?"
3849616,"S,NAULISA,NATAKA KUFUKA NGOMBE YA ZERO GRASING NIFANYAJE?",swa,cereal,ke,2017-11-22 13:01:41+00:00,"S,NAULISA,Will you be able to live a life of zero grass today?"
3849660,E Ndi Mugabe T Kuruga Mubende Ninyeda Obumme Ikumi 10 Nibufunira Aharizigahi.,nyn,rabbit,ug,2017-11-22 13:05:16+00:00,E and Mugabe T Kuruga  Mubende Ninyeda Ten Governments and I wish Aharizigahi.
3849674,S Viazi Vikuu Aje Ikuwe Vizuri?,swa,potato,ke,2017-11-22 13:06:49+00:00,Do you have a visa to visit?
3849708,E  Endambe  Yebihimba  Negura  Ziganhi ?   Niye  Robert N,nyn,bean,ug,2017-11-22 13:10:07+00:00,What is the Endambe Yebihimba Negura Ziganhi? by Robert N.
3849722,Ninataka kufuga kuku ninataji nini? Nina Shamba Ndogo Nipande Mumea Ngani Nipate Mazao Mengi? Ndio.,swa,plant,ke,2017-11-22 13:11:41+00:00,What kind of chicken do I want to make? Nina Shamba Ndogo Nipande Mumea Why do I get so much fruit? Yes.
3849722,Ninataka kufuga kuku ninataji nini? Nina Shamba Ndogo Nipande Mumea Ngani Nipate Mazao Mengi? Ndio.,swa,poultry,ke,2017-11-22 13:11:41+00:00,What kind of chicken do I want to make? Nina Shamba Ndogo Nipande Mumea Why do I get so much fruit? Yes.
3849765,"E EKYIBUZO KYAWE TINAKYIKYENGA EZOBWINA NEKYI AHABWOKUBA OBWINA OBA NOBWENYANYA,KAROT,EMONDI,ETC?NINYE TUMWIJUKYE",nyn,carrot,ug,2017-11-22 13:15:58+00:00,"What is the meaning of love or hate, carrot, murder, etc.?"
3849792,S Vifaranga ni vya gredi,swa,chicken,ke,2017-11-22 13:19:37+00:00,S Money and grades
3849829,E yegite sharura,nyn,,ug,2017-11-22 13:23:31+00:00,And then there's the sharura.
3849896,E   ndi omuhingi ebicoori kubishokongyirwe bitakarabize omubazi ntemuguuha? Ndi Martazari.,nyn,maize,ug,2017-11-22 13:29:05+00:00,Am I a maker of ebicoori to shake hands with a sculptor and a sculptor?
3849905,E ebicori ebisya nibigura zingahi okwe?,nyn,maize,ug,2017-11-22 13:29:53+00:00,How many fruits and vegetables do you have?
3849916,E Ebihimba bya yellow kilo negura zingahi,nyn,bean,ug,2017-11-22 13:30:32+00:00,E How many yellow-bellied blackheads do you have?
3849987,E ninyenda kuhinga obutunda nkurenta?,nyn,passion-fruit,ug,2017-11-22 13:36:50+00:00,Do you want to buy a rental car?
3850016,E Ninyenda mungambire omubazi ogurikutamba okukokota kwebihimba,nyn,,ug,2017-11-22 13:39:32+00:00,I'm going to talk to a coach who's playing the drawing board.
3850022,S nauza 1k each,swa,peach,ke,2017-11-22 13:40:01+00:00,S nauza 1k each.
3850057,S. NN DAWA GANN INAYO WEZA KUAGAMIZA WADUDU KWA MAHINDI WANAZAANA ARAKA SANA WANAKULA,swa,maize,ke,2017-11-22 13:42:46+00:00,S. NN DAVA GANN INAYO CAN ALWAYS improve the lives of children in rural India.
3850132,E emyanyi okukala obutabi dagala ki eriyinza okunyamba?,lug,coffee,ug,2017-11-22 13:48:19+00:00,Is it possible that being ungrateful can be a distraction?
3850156,E Omuhingi Omuntu weena arikwenda omisiri yebincori erikwigana ika ibiri{two ikaz zokugura ahabeyi nungi tera 0777385063 ninye Alex kurunga Isoroma kyenjojo.,nyn,,ug,2017-11-22 13:50:30+00:00,E Omuhingi Persona you are going to the umisiri of the chairs where you meet two women to buy a pair of shoes.
3850181,s Matunda(passion fruit)ikianza kujikunja zingali changa unatumia kuifanya iwe bora.,swa,passion-fruit,ke,2017-11-22 13:51:56+00:00,Fruit is a passion fruit that you use to make you feel better.
3850215,"E,nibuza Nti Orume Oruhango Ndugurazigai Niga Tibabugura.Ndi Jonan Mitooma D, Garukamu,na E.Ahakutadika Kw""obutumwa",nyn,,ug,2017-11-22 13:55:18+00:00,"E,nibuza Nti Orume Oruhango Ndugurazigai Niga Tibabugura.It was written by Jonan Mitooma D, Garukamu, and E.Ahakutadika Kw""Besage."
3850281,"E Nibuza Anbuzi Eratanaka Nimbasa,kugyihakyi, Kagyiha Omubazigwenjoka Nagyitera Ekyikato Kya Vitameni",nyn,goat,ug,2017-11-22 14:01:42+00:00,"E Nibuza Anbuzi Eratanaka Nimbasa,kugyihakyi, Kagyiha Omubazigwenjoka Nagyitera is also a member of the Vitamin C family."
3850317,E  Embuzi hati kuzirarwara amesho gakaba gamuntare ebihozi emizinga bwona biteranize mumesho  omubazi kagura goha omumanduka!,nyn,goat,ug,2017-11-22 14:04:54+00:00,E Goat is going to get sick in the eyes of all the people around the world and get sick in the eyes of all the people around the world!
3850338,S NI MBOLEA IPI AMBAYO NI NZURI KWA MAHINDI,swa,maize,ke,2017-11-22 14:06:33+00:00,S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S
3850457,E Ninyendakuhinga enyanya ninkoranta?,nyn,tomato,ug,2017-11-22 14:15:50+00:00,Do you know how many times you've read a newspaper?
3850542,E NKOZENTYA OKUKOMYA AKAUKA AKATULILA KASOLI,lug,maize,ug,2017-11-22 14:22:24+00:00,"It's not enough to know the truth, but it's enough to know the truth."
3850585,E NABANINYENDA MANYE AHIMUKUSHANGWA,nyn,,ug,2017-11-22 14:25:48+00:00,And it's going to make a difference in the lives of others.
3850606,E Kerebu Kuruga Kamwenge Nimbuza Waheza Kubyara Water Meron kuruga Omwitaka Neyerera Emwezi Egahe.,nyn,,ug,2017-11-22 14:26:54+00:00,E Kerebu Kuruga Kamwenge Nimbuza and then Ferru Water Meron and Omwitaka Neyerera for several months.
3850622,Faith anauliza: dawa ya viroboto.kwa kuku Jibu S125 ikifuatiwa na jibu lako.,swa,poultry,ke,2017-11-22 14:27:52+00:00,Faith asks: a robotic vaccine for chicken answer S125 followed by your answer.
3850652,E   ninye   nabi  ishair   katugambe  aha  kakoko   nikafumura  omwani  ahamutwe  kataha   omunda  kagusisha  omutwe   mumpabure  nyowe  nkoreshe  mubaziki.?,nyn,acacia,ug,2017-11-22 14:29:09+00:00,Who is the prophet ishair to tell us the name of the bird and uncover the head of a man who has been shot in the back and hit his head in the head?
3850652,E   ninye   nabi  ishair   katugambe  aha  kakoko   nikafumura  omwani  ahamutwe  kataha   omunda  kagusisha  omutwe   mumpabure  nyowe  nkoreshe  mubaziki.?,nyn,coffee,ug,2017-11-22 14:29:09+00:00,Who is the prophet ishair to tell us the name of the bird and uncover the head of a man who has been shot in the back and hit his head in the head?
3850662,E Nanimbuza Ente Yange Etaire Ebifuruto Ahamumbiri Gihe Mumbaziki?,nyn,cattle,ug,2017-11-22 14:29:40+00:00,And who asked me if I was going to be able to make a living from music?
3850663,Q kwani ni lazima kuuliza maswali,swa,,ke,2017-11-22 14:29:45+00:00,Q since you have to ask questions
3850677,E  hati  nimbuza omubazi gwamabati (kanyobwa) guriho itwe abahingi ka netuteganisa mwebare kugarukamu.ninye Joshua Kyegegwa district.,nyn,,ug,2017-11-22 14:30:37+00:00,I'm going to ask the district attorney (kanyobwa) about how we're going to organize our return trip.I'm Joshua Kyegegwa district.
3850711,E.LUMONDE.AKURILA.EMWEZI.EMEKA.OKUMUKUNGULA.JULIUS.MITYANA,lug,sweet-potato,ug,2017-11-22 14:31:26+00:00,E.LUMONDE.AKULILA.MOONTH.EMEKA.OKUMUKUNGULA.JULIUS.MITYANA was born.
3850727,S NINAWEZA KUPATA WAPI MBOLEA,swa,,ke,2017-11-22 14:31:48+00:00,I CAN get it from wherever I want it.
3850737,E Nkakoraki kugira ngu omwaani gwere kurungi?,nyn,coffee,ug,2017-11-22 14:32:05+00:00,How can I have a good relationship with a poor person?
3850763,E Kokuheza Kufuhiza Liqud Organik Manure Emirudi3 Nomara Obwire Bukwiganaki Okashuba Okafuhira,nyn,,ug,2017-11-22 14:32:53+00:00,E to finish breathing Liqud Organic Manure Emirudi3 Nomara Obwire Bukwiganaki Okashuba Okafuhira
3850792,E EMONDIZIRWIRE,nyn,,ug,2017-11-22 14:33:34+00:00,This is the first time that EMONDIZIRWIRE has done so.
3850807,Q ikona vidonda kwa mdomo,swa,,ke,2017-11-22 14:33:48+00:00,Q is the angle of the mouthpiece to the mouthpiece.
3850921,"E,EBICOORI  BYAYEZIRE",nyn,maize,ug,2017-11-22 14:35:50+00:00,"E,EBICOORI BYAYZIRE was founded."
3850974,E  Embuzi  Zange  Zirweire  Zimwe  Nizisyakubi  Ezindi  Niziguma  Nizihwamu  Nizikoha  Munonga   Mbwenu  Nkakozesa  Mubaziki  Ndi  Karemera  Kuruga  Kamwenge,nyn,goat,ug,2017-11-22 14:36:44+00:00,In my goats I've got other goats I've got other goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats
3850977,Q mimi nimkulima wamahindi lakin nipanda tuna mauwa ya pingi ina mea na kuwuwa mahindi naweza tumia dawa gani,swa,maize,ke,2017-11-22 14:36:49+00:00,"I am a farmer of Indian origin but if I have tuna, pingi and corn I can use it."
3850979,"Q,Dawa Gani Ya Kienyeji Nawesa Kutumia Kwa Kuku Upantewa Homa",swa,chicken,ke,2017-11-22 14:36:51+00:00,"Q,What kind of treatment have we tried using chicken Upantewa Homa?"
3850979,"Q,Dawa Gani Ya Kienyeji Nawesa Kutumia Kwa Kuku Upantewa Homa",swa,poultry,ke,2017-11-22 14:36:51+00:00,"Q,What kind of treatment have we tried using chicken Upantewa Homa?"
3850981,S NIULIZE SWALI.,swa,,ke,2017-11-22 14:36:52+00:00,This is Niulize Swali.
3851003,"Ng,ombe  wangu  hatowi  maziwa  kwanini",swa,cattle,ke,2017-11-22 14:37:38+00:00,"Ng, my cow never drinks milk."
3851031,S Niokole credit ya twenti nilipie okoa jahazi,swa,,ke,2017-11-22 14:38:11+00:00,S Niokole credit of twenti nipie okoa jahazi
3851115,S Nime ulisha mashwali zaidi ya kumi na sijahi pata jibu moja,swa,,ke,2017-11-22 14:39:25+00:00,I've asked more than a dozen questions and I've only got one answer.
3851139,Ninyenda Kuhinga obuunda nkatandika nta,nyn,passion-fruit,ug,2017-11-22 14:39:47+00:00,I'm going to fight the war and start with nothing.
3851156,E  Yine Enkifenesi  Kyagye  Tikutamu Enbifene  Eikozese Omubamziki  Niye  Robert  N,nyn,,ug,2017-11-22 14:39:57+00:00,E Again Enkifenesi Kyagye Tikutamu Enbifene Eikozese The music is by Robert N.
3851164,Type gani nzuri ya kuku yenye unaweza fuga side za Busia,swa,poultry,ke,2017-11-22 14:40:06+00:00,What kind of good kind of cake can you make on the Busia side?
3851205,S Ni Nani Anaesa Kuwa Anausa Mbuzi Za Masiwa ?,swa,goat,ke,2017-11-22 14:40:35+00:00,Who tries to be the Anausa goat of the sheep ?
3851208,S.FAIDA YA UMBWA NI NINI?,swa,,ke,2017-11-22 14:40:37+00:00,P.S. WHAT is faith in creation?
3851270,S kuna dawa ama mbinu yoyote ya kuzuia nudge wanaokula mtama?,swa,millet,ke,2017-11-22 14:41:24+00:00,Is there any medicine or method of preventing nudge of those who eat it?
3851356,E Nanye Mbyine Ebihimba Twente 200 Kgs Shs 2000 Orikubyenda Atere 0774294553  Garukamu Na E2 Okutandika Obutumwa,nyn,bean,ug,2017-11-22 14:43:02+00:00,E Nanye Mbyine Ebihimba Twente 200 Kgs Shs 2000 Orikubyenda Atere 0774294553 Garukamu Na E2 Starting the Message
3851367,S kuna dawa ama mbinu yoyote ya kuzuia ndege wanaokula mtama?,swa,bird,ke,2017-11-22 14:43:17+00:00,Is there any medicine or method to prevent birds from eating eggs?
3851367,S kuna dawa ama mbinu yoyote ya kuzuia ndege wanaokula mtama?,swa,millet,ke,2017-11-22 14:43:17+00:00,Is there any medicine or method to prevent birds from eating eggs?
3851380,E nimbasanta kulebuka ngu na kama ente yangye eyenyankore amate maingi?,nyn,cattle,ug,2017-11-22 14:43:29+00:00,Is it easy to remember how many times I've had to eat too much?
3851381,E Nanimbuza Weza Enyena Ye Ente Enyankore Yazakwema Amahembe Nigaba Gine Ichi Zingahi,nyn,cattle,ug,2017-11-22 14:43:30+00:00,"I asked him how he was going to do it, and he asked me how he would do it."
3851388,Empunu yangye egweire ebironda ahamisho mbwenu nkozese mubaziki ?,nyn,pig,ug,2017-11-22 14:43:41+00:00,Should I use the client if I have to wear a bracelet?
3851448,S Mbuzi Wa Maziwa Anauzwa Shiling Ngapi?,swa,goat,ke,2017-11-22 14:44:59+00:00,How many shillings is a milk goat?
3851488,S Mbegu ya seedco Duma  initoa kiasi gani acre niko Bungoma,swa,potato,ke,2017-11-22 14:46:04+00:00,The seed of the seedco Duma has extracted how much acre is Bungoma.
3851564,Q xungura yang inagonjeka kwa mapua je dawa yake n gan,swa,rabbit,ke,2017-11-22 14:48:04+00:00,A drug that is resistant to infection is a drug that is resistant to infection.
3851605,E NINYEAA KUMANYA AHBEYI YABAKAME KANDI BAKAME NAZO NIZIBASA KUBONA AKATARE?,nyn,,ug,2017-11-22 14:49:34+00:00,How do I know why I'm here and why I'm here?
3851726,S Wakati unapanda nyanya unatumia kipimo gani kutoka mmea hadi mwingine?,swa,crop,ke,2017-11-22 14:54:15+00:00,"When planting tomatoes, what dose do you take from female to female?"
3851726,S Wakati unapanda nyanya unatumia kipimo gani kutoka mmea hadi mwingine?,swa,tomato,ke,2017-11-22 14:54:15+00:00,"When planting tomatoes, what dose do you take from female to female?"
3851820,E#: NIMBUZA ENJOKI NIBAZIHA OMWEZI GWAKAINGAHA KANDI NIZITWARA BWIREKI KWERA. NDASIMA MUNGARUKIREMU,nyn,bee,ug,2017-11-22 14:58:21+00:00,E#: I'm going to ask Enoch if he's going to live forever and I'm going to live forever.
3851913,E Muhogo Erikwera Juba Eyomurembe Neyerera Bwire Ki ???.,nyn,cassava,ug,2017-11-22 15:02:35+00:00,E Muhogo Erikwera Juba Eyomurembe Neyerera Bwire Ki ???.
3851933,E Mumpabure Omubzi Gwakajunde Yomitumba,nyn,,ug,2017-11-22 15:03:31+00:00,E Mumpabure Omubzi has joined forces with Yomitumba.
3851969,E Nimbashaba Mungambire Okunakubasa Kuriisa Enkooko Zenyankore Ndikukozesa Ebyokurya Ebyaburijo.,nyn,chicken,ug,2017-11-22 15:06:06+00:00,E Nimbashaba Mungambire  How can you grow Enkooko Zenyankore with the help of a healthy diet.
3852033,ng'ombe wangu ambaye alizaa juzi nitampa jumvi gani ili aongeze kiwango cha maziwa,swa,cattle,ke,2017-11-22 15:11:14+00:00,"My cow, which produces juices, will have to pump up the juice to increase the milk level."
3852109,S  bona uki panda maidi  mavuno yake nikidogo  maidi inatoka dogodogo,swa,maize,ke,2017-11-22 15:15:04+00:00,S bona uki panda maidi harvests its crops when it reaches its peak.
3852110,"E,nimubaziki,oguorabasa,kufuhiriza,omwani?",nyn,coffee,ug,2017-11-22 15:15:04+00:00,"Yes, you are a guest, a worker, a driver, a drinker?"
3852116,E DAVID ENTE YAWE WABA NOGIREBARAGYE EKARYA ENKAHANGA OKAGIHEZA AMAIZI OBWIRE NEKAMWA LITRE ITANO,nyn,cattle,ug,2017-11-22 15:15:16+00:00,David and his father were blessed by the high priest Akisha Amaechi Obwire with a gallon of water.
3852135,E Mumpabure Omubazi Gwakajunde Ensisire Orutokye Emitumba Nehisa Endeere Eyoma,nyn,,ug,2017-11-22 15:16:52+00:00,E Mumpabure Omubazi Gwakajunde Ensisire Orutokye Emitumba Nehisa Endeere Eyoma is also a member of the Board of Directors.
3852138,E hati nyowe ninyenda mungambire beyi ye mondi mbisi mungambire town yitu kabale,nyn,,ug,2017-11-22 15:17:07+00:00,And now you're going to talk to the fisherman and talk to our town.
3852146,S ntapata mbegu za nanasi wapy,swa,pineapple,ke,2017-11-22 15:17:43+00:00,I don't want to find the seeds of the wapy pineapple.
3852168,E ENTE OKUBA OMWABAZYO ZIKAHINDIRIZA NEKI?,nyn,cattle,ug,2017-11-22 15:18:58+00:00,What is the meaning of having children?
3852170,S ntapata mbegu za nanasi wapy,swa,pineapple,ke,2017-11-22 15:18:59+00:00,I don't want to find the seeds of the wapy pineapple.
3852208,s......nitapata wapi mbegu ya viasi?,swa,potato,ke,2017-11-22 15:22:23+00:00,Where can I get the seeds of viass?
3852372,E BUZIIMA NETEKWA KUKAMWA LITRE 5 ITANO GODFREY BITSYA BUHWEJU,nyn,,ug,2017-11-22 15:33:37+00:00,It's worth noting that 5 liters of water is available to Godfrey BITSYA BUHWEJU.
3852398,S Mtu aweza uliza swali la mwili wake?,swa,,ke,2017-11-22 15:35:30+00:00,Can one ask the question of his body?
3852411,s naeza taka kujua dawa gani mzuri ya kumariza wadudu wenye wanagomea viazi zangu,swa,potato,ke,2017-11-22 15:36:31+00:00,I don't want to know what the best remedy is to eliminate the parasites that are killing my potatoes.
3852448,"Q.ntandikire project yokurisa obume.obume bwangye budwire amatu,mbwenu nkozese mubaziki?",nyn,rabbit,ug,2017-11-22 15:39:25+00:00,"Q.I'm starting a project to increase the volume.My volume will increase the volume of the ears, and now I'm using the customer?"
3852455,"Ng,mbe yangu ina mimba ya miezi tano na ninakamua niache kukamua lini?",swa,cattle,ke,2017-11-22 15:39:41+00:00,"Ng, my baby is five months pregnant and when am I going to stop?"
3852467,E MAWOGO MULIMA NTYA?,lug,cassava,ug,2017-11-22 15:40:26+00:00,Is there a spirit in a new world?
3852480,S Dawa ya mwili wote inaitwa aje?,swa,,ke,2017-11-22 15:41:25+00:00,What is the name of the whole-body medicine?
3852486,S mbegu za nanasi ni SUCKERS,swa,pineapple,ke,2017-11-22 15:41:43+00:00,Seeds of pineapple and suckers.
3852506,S Ambia peter mkuje busia,swa,,ke,2017-11-22 15:43:09+00:00,Both Peter and I are busy.
3852522,S KUNA SABUNI ZA KUOSHA KONDOO ILI MANYOYA YAONEKANE MEUPE,swa,sheep,ke,2017-11-22 15:44:16+00:00,And there are soaps to clean up the mess and the heart of the European Union.
3852555,S:iko meru town side gani,swa,,ke,2017-11-22 15:45:50+00:00,S:iko meru town side gani
