question_id,clean_text,keywords_found,keyword_categories
3849328,P.S. What is the average day-to-day medical treatment?,[],[]
3849354,E Habwekii Emondizirababuka Ningakusa Amababi Nimubazikii Gutwobasa is also known as Kukoresa.,[],[]
3849376,Cow's milk can be treated with antibiotics so that you can eat and die quickly as a cow.,"['cow', 'milk']","['livestock', 'livestock']"
3849381,"How long after the mixture is mixed, is the maize suitable?",['maize'],['crops']
3849452,E HUMAN WORKING IN THE WORLD OF GOD AYOHEREZA'S WITNESS WITNESS THE WORLD RIMMER and the name of Jesus and the name of YABA ARAGUZA and ANACLET RUHIJA RUBANDA DISTRICT webare 0756761107,[],[]
3849452,E HUMAN WORKING IN THE WORLD OF GOD AYOHEREZA'S WITNESS WITNESS THE WORLD RIMMER and the name of Jesus and the name of YABA ARAGUZA and ANACLET RUHIJA RUBANDA DISTRICT webare 0756761107,[],[]
3849454,It's a drug that's been used by so many of us here.,[],[]
3849462,S is one and a half acres worth a nipandie D A P what is it?,[],[]
3849468,Q-iko is a mixture of sugura and mnisaiyekind to tell you the name of the drug.,[],[]
3849471,The Nimubaziki Gu Orafuhiriza Friendship Zitaragarike Oburabyo is also Bukagumamu.,[],[]
3849473,"S,I can find the Kienyegi Cake Market.",[],[]
3849473,"S,I can find the Kienyegi Cake Market.",[],[]
3849485,E edagala lino telikossa mugyele.i asked sulaiman about this.,[],[]
3849507,It's a good idea to cook a chicken so it doesn't have to be cooked.,['chicken'],['livestock']
3849513,"And how to win the world A'RUNGURU YEBARA, AMANGURU, A'HA'KYISRA.NIBURWIREKI is born.",[],[]
3849526,"Yes, Agnes was.noyeda where to find the winner and who to find reeru kugabire.",[],[]
3849554,How many mixing hearts do you have?,[],[]
3849616,"S,NAULISA,Will you be able to live a life of zero grass today?",[],[]
3849616,"S,NAULISA,Will you be able to live a life of zero grass today?",[],[]
3849660,E and Mugabe T Kuruga Mubende Ninyeda Ten Governments and I wish Aharizigahi.,[],[]
3849674,Do you have a visa to visit?,[],[]
3849708,What is the Endambe Yebihimba Negura Ziganhi? by Robert N.,[],[]
3849722,What kind of chicken do I want to make? Nina Shamba Ndogo Nipande Mumea Why do I get so much fruit? Yes.,['chicken'],['livestock']
3849722,What kind of chicken do I want to make? Nina Shamba Ndogo Nipande Mumea Why do I get so much fruit? Yes.,['chicken'],['livestock']
3849765,"What is the meaning of love or hate, carrot, murder, etc.?",[],[]
3849792,S Money and grades,[],[]
3849829,And then there's the sharura.,[],[]
3849896,Am I a maker of ebicoori to shake hands with a sculptor and a sculptor?,[],[]
3849905,How many fruits and vegetables do you have?,[],[]
3849916,E How many yellow-bellied blackheads do you have?,[],[]
3849987,Do you want to buy a rental car?,[],[]
3850016,I'm going to talk to a coach who's playing the drawing board.,[],[]
3850022,S nauza 1k each.,[],[]
3850057,S. NN DAVA GANN INAYO CAN ALWAYS improve the lives of children in rural India.,[],[]
3850132,Is it possible that being ungrateful can be a distraction?,[],[]
3850156,E Omuhingi Persona you are going to the umisiri of the chairs where you meet two women to buy a pair of shoes.,[],[]
3850181,Fruit is a passion fruit that you use to make you feel better.,[],[]
3850215,"E,nibuza Nti Orume Oruhango Ndugurazigai Niga Tibabugura.It was written by Jonan Mitooma D, Garukamu, and E.Ahakutadika Kw""Besage.",[],[]
3850281,"E Nibuza Anbuzi Eratanaka Nimbasa,kugyihakyi, Kagyiha Omubazigwenjoka Nagyitera is also a member of the Vitamin C family.",[],[]
3850317,E Goat is going to get sick in the eyes of all the people around the world and get sick in the eyes of all the people around the world!,['goat'],['livestock']
3850338,S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S,[],[]
3850457,Do you know how many times you've read a newspaper?,[],[]
3850542,"It's not enough to know the truth, but it's enough to know the truth.",[],[]
3850585,And it's going to make a difference in the lives of others.,[],[]
3850606,E Kerebu Kuruga Kamwenge Nimbuza and then Ferru Water Meron and Omwitaka Neyerera for several months.,['water'],['inputs']
3850622,Faith asks a robotic vaccine for chicken answer S125 followed by your answer.,['chicken'],['livestock']
3850652,Who is the prophet ishair to tell us the name of the bird and uncover the head of a man who has been shot in the back and hit his head in the head?,[],[]
3850652,Who is the prophet ishair to tell us the name of the bird and uncover the head of a man who has been shot in the back and hit his head in the head?,[],[]
3850662,And who asked me if I was going to be able to make a living from music?,[],[]
3850663,Q since you have to ask questions,[],[]
3850677,I'm going to ask the district attorney kanyobwa about how we're going to organize our return trip.I'm Joshua Kyegegwa district.,[],[]
3850711,E.LUMONDE.AKULILA.MOONTH.EMEKA.OKUMUKUNGULA.JULIUS.MITYANA was born.,[],[]
3850727,I CAN get it from wherever I want it.,[],[]
3850737,How can I have a good relationship with a poor person?,[],[]
3850763,E to finish breathing Liqud Organic Manure Emirudi3 Nomara Obwire Bukwiganaki Okashuba Okafuhira,[],[]
3850792,This is the first time that EMONDIZIRWIRE has done so.,[],[]
3850807,Q is the angle of the mouthpiece to the mouthpiece.,[],[]
3850921,"E,EBICOORI BYAYZIRE was founded.",[],[]
3850974,In my goats I've got other goats I've got other goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats I've got more goats,[],[]
3850977,"I am a farmer of Indian origin but if I have tuna, pingi and corn I can use it.",['corn'],['crops']
3850979,"Q,What kind of treatment have we tried using chicken Upantewa Homa?",['chicken'],['livestock']
3850979,"Q,What kind of treatment have we tried using chicken Upantewa Homa?",['chicken'],['livestock']
3850981,This is Niulize Swali.,[],[]
3851003,"Ng, my cow never drinks milk.","['cow', 'milk']","['livestock', 'livestock']"
3851031,S Niokole credit of twenti nipie okoa jahazi,[],[]
3851115,I've asked more than a dozen questions and I've only got one answer.,[],[]
3851139,I'm going to fight the war and start with nothing.,[],[]
3851156,E Again Enkifenesi Kyagye Tikutamu Enbifene Eikozese The music is by Robert N.,[],[]
3851164,What kind of good kind of cake can you make on the Busia side?,[],[]
3851205,Who tries to be the Anausa goat of the sheep ?,['goat'],['livestock']
3851208,P.S. WHAT is faith in creation?,[],[]
3851270,Is there any medicine or method of preventing nudge of those who eat it?,[],[]
3851356,E Nanye Mbyine Ebihimba Twente 200 Kgs Shs 20 Orikubyenda Atere 0774294553 Garukamu Na E2 Starting the Message,[],[]
3851367,Is there any medicine or method to prevent birds from eating eggs?,['eggs'],['livestock']
3851367,Is there any medicine or method to prevent birds from eating eggs?,['eggs'],['livestock']
3851380,Is it easy to remember how many times I've had to eat too much?,[],[]
3851381,"I asked him how he was going to do it, and he asked me how he would do it.",[],[]
3851388,Should I use the client if I have to wear a bracelet?,[],[]
3851448,How many shillings is a milk goat?,"['goat', 'milk']","['livestock', 'livestock']"
3851488,The seed of the seedco Duma has extracted how much acre is Bungoma.,['seed'],['inputs']
3851564,A drug that is resistant to infection is a drug that is resistant to infection.,[],[]
3851605,How do I know why I'm here and why I'm here?,[],[]
3851726,"When planting tomatoes, what dose do you take from female to female?",[],[]
3851726,"When planting tomatoes, what dose do you take from female to female?",[],[]
3851820,E I'm going to ask Enoch if he's going to live forever and I'm going to live forever.,[],[]
3851913,E Muhogo Erikwera Juba Eyomurembe Neyerera Bwire Ki ?.,[],[]
3851933,E Mumpabure Omubzi has joined forces with Yomitumba.,[],[]
3851969,E Nimbashaba Mungambire How can you grow Enkooko Zenyankore with the help of a healthy diet.,['grow'],['actions']
3852033,"My cow, which produces juices, will have to pump up the juice to increase the milk level.","['cow', 'milk']","['livestock', 'livestock']"
3852109,S bona uki panda maidi harvests its crops when it reaches its peak.,[],[]
3852110,"Yes, you are a guest, a worker, a driver, a drinker?",[],[]
3852116,David and his father were blessed by the high priest Akisha Amaechi Obwire with a gallon of water.,['water'],['inputs']
3852135,E Mumpabure Omubazi Gwakajunde Ensisire Orutokye Emitumba Nehisa Endeere Eyoma is also a member of the Board of Directors.,[],[]
3852138,And now you're going to talk to the fisherman and talk to our town.,[],[]
3852146,I don't want to find the seeds of the wapy pineapple.,[],[]
3852168,What is the meaning of having children?,[],[]
3852170,I don't want to find the seeds of the wapy pineapple.,[],[]
3852208,Where can I get the seeds of viass?,[],[]
3852372,It's worth noting that 5 liters of water is available to Godfrey BITSYA BUHWEJU.,['water'],['inputs']
3852398,Can one ask the question of his body?,[],[]
3852411,I don't want to know what the best remedy is to eliminate the parasites that are killing my potatoes.,[],[]
3852448,"Q.I'm starting a project to increase the volume.My volume will increase the volume of the ears, and now I'm using the customer?",[],[]
3852455,"Ng, my baby is five months pregnant and when am I going to stop?",[],[]
3852467,Is there a spirit in a new world?,[],[]
3852480,What is the name of the whole-body medicine?,[],[]
3852486,Seeds of pineapple and suckers.,[],[]
3852506,Both Peter and I are busy.,[],[]
3852522,And there are soaps to clean up the mess and the heart of the European Union.,[],[]
3852555,S iko meru town side gani,[],[]
3852619,"E Nibuza Anbuzi Eratanaka Nimbasa,kugyihakyi, Kagyiha Omubazigwenjoka Nagyitera is also a member of the Vitamin C family.",[],[]
3852696,"In the aid of construction, there is no shortage of seeds.",[],[]
3852700,How long have you been on the receiving end of this recipe?,[],[]
3852704,I asked a young cow what medicine it would take to survive.,['cow'],['livestock']
3852747,"These are my horses and my clothes, we see a woman here. Ah, my father's wife. And she, my friend Kuzirakira Kuoma, is a good friend.",[],[]
3852751,E WEMBA NSIMBULGYE MERON AYIINZA OKUMERA ERA was born in Mukisarakino.,[],[]
3852758,And now I'm going to go to the local fisherman's club in our district of Kabul.,[],[]
3852777,It's not enough for a farmer to feed a dog when he's still a kid.,['feed'],['inputs']
3852786,"I am a mother of love and joy, and I love blood every day of my life.",[],[]
3852868,Who is to blame for the death of Habakkuk and Caesar?,[],[]
3852889,"Army worms have eaten my corn and still scratched my head, what should I do?",['corn'],['crops']
3852895,And what I'm doing is making a difference.,[],[]
3852902,Where do I get the money from?,[],[]
3852902,Where do I get the money from?,[],[]
3852910,E Ebikyori Nibyera What is it?,[],[]
3852919,"I am the ground of my life, and I am the ground of my life, and I go to heaven with all my heart, and what is the word of Christ?",[],[]
3852958,"In the meantime, I'm going to get a new one, and I'm going to have two more meals.",[],[]
3852962,Thank you very much to the church.,[],[]
3853003,What kind of a person gives a chicken to a woman in Rome?,['chicken'],['livestock']
3853012,"I've planted the apples about three times but instead of biting, they are burning.",[],[]
3853012,"I've planted the apples about three times but instead of biting, they are burning.",[],[]
3853039,It's a joy to be alive.,[],[]
3853083,JOY ANNAULIZA MY JOY is NOT to be confused with my mother and my brother.,[],[]
3853093,"Tom asks ""Will I go to the top, to the countryside after we play, or help each other out?""",[],[]
3853095,Do you take drugs or drugs?,[],[]
3853179,S measurements for planting mahind n wot by wot?,[],[]
3853254,E NIMBUSA ABBY'S FAMILY to plant the seeds of SHAHO NIZGAHE and DISMA MURYARUHANZI VILLAGE,['plant'],['actions']
3853273,Swali.my turkey leaves are black and white and what kind of medicine should I use?,[],[]
3853284,E EITI OUKONKO is a book about education and training.,[],[]
3853312,E Ente Yangye Eine Eshundo Zizimbire Ahamaisho Bwenu Nkoreki is also available.,[],[]
3853324,What about Enjura Newhayo Ryari?,[],[]
3853325,Can you climb sukuma with salt water?,['water'],['inputs']
3853331,How many shillings does a chicken with a toast cost?,['chicken'],['livestock']
3853335,There are a lot of bees in my farm. what should I do now?,['farm'],['actions']
3853343,It's worth noting that there are many ways to do this.,[],[]
3853356,Hello Wefarm?who and my chicken have mouth sores now should I do?,['chicken'],['livestock']
3853367,"E Omwaani In order to grow well Nikugukoranta, Haza Amababi Nigatukura.",['grow'],['actions']
3853381,s.niulize the question.,[],[]
3853451,S MOSES ANSWER What are your chicken and blacksport oral medicines?,['chicken'],['livestock']
3853456,I want to make a Kieyenji Chicken.,['chicken'],['livestock']
3853456,I want to make a Kieyenji Chicken.,['chicken'],['livestock']
3853472,E .nimbuza.ebeeyiyebihimba.mix.eri.ahari.zingahi?ndi.Nkunda.kuruga.kamwengye is the name of the game.,[],[]
3853503,"E yell0, I would like to know when the business of the wefarm will start and when your office will be located nearby in the Rubanda District.",[],[]
3853542,And that's why I'm here to help my client.,[],[]
3853547,"In Rodgers, you've got 6 goats and 1 tail.",[],[]
3853557,Treatments can even be taken when they're burned.,[],[]
3853597,"If I don't plant potatoes, the vitamin doesn't work well, is there milk? or what should I do?","['milk', 'plant']","['livestock', 'actions']"
3853597,"If I don't plant potatoes, the vitamin doesn't work well, is there milk? or what should I do?","['milk', 'plant']","['livestock', 'actions']"
3853603,I'm going to buy a business in the United States with my book.,[],[]
3853605,S. Where can I give you a simsim?,[],[]
3853635,I asked him how many shillings there were.,[],[]
3853645,How many times does an epileptic seizure take place?,[],[]
3853649,Q Where did Jerry come from?,[],[]
3853657,E LUKENGE INNOCENT DAGALA and RYE NKOZESA have been killed by KASOLI.,[],[]
3853660,"And I wanted to make a goat for a goat, so I knew how much Allan wanted.",['goat'],['livestock']
3853666,"Charles asks, ""How long can I forgive my wife?""",[],[]
3853672,What kind of medication should I use to treat peanut butter?,[],[]
3853681,"Robert asks, ""Are you on drugs or not?"" The answer to S25 is followed by your answer.",[],[]
3853726,Naba Nimbuza has asked to build an emergency shelter.,[],[]
3853731,"In the meantime, the Roman emperor had to leave the city of Nahabwenki.",[],[]
3853784,Why do I have to be religious or religious?,[],[]
3853808,"E taremwa samuel nimbuza is a chicken of the chicken family that produces one or two eggs, one or two eggs, and one or two eggs.","['chicken', 'eggs']","['livestock', 'livestock']"
3853832,E I'm going to go to school on the 11th and I'm coming to school on the 11th and I'm going to school on the 11th and I'm going to school on the 11th and I'm going to school on the 11th and I'm going to school on the 11th and I'm going to school on the 11th and I'm going to school on the 11th and I'm going to school on the 11th and I'm going to school on the 11th and I'm going to school on the 11th and I'm going to school on the 11th and I'm going to school on the 11th and I'm going to school on the 11th and I'm going to school on the 11th.,[],[]
3853838,The price of rice and beans is 600 for Ambrose Joy.,['beans'],['crops']
3853856,What will we do to help people with 20 subscribers?,[],[]
3853868,E Enkoko became obsessed with a bus driver and had eight panades in a month.,[],[]
3853879,S.Who is Ako with the rabbit to sell a piece of kericho??,[],[]
3853898,E'bihimba biharirukaga and natanu mikix NTAR AND FRED are the only ones who can do this.,[],[]
3853902,E. Ahabwekyi youbyara gyebihimba naguziire Embiboyebihimba . Aha30sh kilo1 .hati.mwisharura .nibangura.1200sh kilo1.nikyiretwakyi?jeradi kuruga kyiruhura.,[],[]
3853906,E Milton Nibuza Okwe Ebihimba Nibigura Bita and also nibihimbaki? tel 0754745138 naga 0788791368.,[],[]
3853934,I asked him how many shillings there were.,[],[]
3853949,"I don't have any money, what can I do with it?",[],[]
3853976,Have you ever wanted to do something that would make you feel better and make you feel better?,[],[]
3853978,What causes mashimoshimo in beans?,['beans'],['crops']
3854006,"Q. Are you looking for Guinea fowl, geese, pigeons, quails, and what are you looking for?",[],[]
3854008,"Yes, I'm the one who's looking at you and I'm looking forward to seeing you again.",[],[]
3854024,Is the water melon ready for Christmas?,['water'],['inputs']
3854027,"I'm trying to figure out what I'm going to do with this one, and I'm going to have 5,0 shillings.",[],[]
3854027,"I'm trying to figure out what I'm going to do with this one, and I'm going to have 5,0 shillings.",[],[]
3854038,E Obutunguru Nibwera Koka Noha Manyuwa Ehikemu Munoga Kandi Itaka Riberi Orushenyi E137 Oterere 0783584376 is the name of the bird that is found in the world.,[],[]
3854074,Where's my bike and where's my bike?,[],[]
3854078,"In the past, we've had a lot of problems with our friends and colleagues.",[],[]
3854085,Was he traveling in the middle of a long and narrow streets and had enough money to buy manure and corn?,['corn'],['crops']
3854086,What kind of medicine do you give a goat?,['goat'],['livestock']
3854117,I'm the only one who can see the customers.,[],[]
3854150,E Nobodyza Ebicori Ebibisi Mysteries Orikubenda Ateere Egi 0785975052 by SIMON K,[],[]
3854152,What is the benefit of giving flowers to the eggplant?,[],[]
3854161,The watermeronies grow as seeds and grow as a shrub growing from seed to seed.,"['grow', 'seed']","['actions', 'inputs']"
3854171,E. Who am I to look at the good that has brought us 3 years of hard work?,[],[]
3854173,"If I want my money to be cooked, how can I do it?",[],[]
3854177,"S,I'd like to grow a 100 degree chicken pie and I'll build your house with chicken.I'll have a few feet per square foot.","['chicken', 'grow']","['livestock', 'actions']"
3854177,"S,I'd like to grow a 100 degree chicken pie and I'll build your house with chicken.I'll have a few feet per square foot.","['chicken', 'grow']","['livestock', 'actions']"
3854177,"S,I'd like to grow a 100 degree chicken pie and I'll build your house with chicken.I'll have a few feet per square foot.","['chicken', 'grow']","['livestock', 'actions']"
3854226,He is the only one who has the ability to give me a lot of skills and a willingness to give it all back to me.,[],[]
3854247,I'm the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one who's going to be the one.,[],[]
3854248,Is it right for a human being to trust each other as much as his father Oragusharyra?,[],[]
3854268,What effect does acid rain have on plants?,['rain'],['weather']
3854286,"E Ninye Kahesi Samson Nimbuze My Friend Kazatandika Kurabya Nimubaziki Ogunakubasa to buy to go by Zikahanguha Munyanse Bantumwe, who is also the head of the band.",[],[]
3854290,What is Ebihimba Nizigahe?,[],[]
3854335,"E Omwani , or Nkungubyara I'm looking forward to?",[],[]
3854343,What kind of disease of the tomato causes the rot of the tomato if the spider is fertile after the tomato if it is still young?,['disease'],['disease']
3854345,It's what I've always wanted to do.,[],[]
3854360,I'd like to write a book that can be written both straightforwardly and down-to-earth.,[],[]
3854361,E Ahabwenki Omwani Nigwoma Obutagi was born.,[],[]
3854408,S.MIMI MAZAO NIYOKUZA and MATA and KIDOGO where we have planted stones like mountain trees.,[],[]
3854408,S.MIMI MAZAO NIYOKUZA and MATA and KIDOGO where we have planted stones like mountain trees.,[],[]
3854444,"S, because he's not perfect?",[],[]
3854458,"I'm going to hell, but I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell and I'm going to hell!",[],[]
3854459,"I'm a goat, but I'm going to eat your eggs.","['goat', 'eggs']","['livestock', 'livestock']"
3854489,"Joseph asks, ""Where can I get a red leghorn eight-week-old Jibu S9?"" followed by your answer.",[],[]
3854558,What are the advantages of recycling?,[],[]
3854738,E The question is Kiro Yapopukoni Nishiring Zingahi.,[],[]
3854773,E Enkoko throws a small bottle of water and drives a car in the middle of nowhere.,['water'],['inputs']
3854883,Is there a goat around the house and there's a goat around the house and there's a goat around the house?,['goat'],['livestock']
3854934,E Nibuza Enamba Erikwinja Ahantagyiro of the Menseg Eramanyisakyi was born.,[],[]
3855082,I want to know what bikyori is.,[],[]
3855252,And the young goat Teyine Mashereka Nkoreki is born.,['goat'],['livestock']
3855255,Do you want to buy or sell?,[],[]
3855263,Do you want to sell a newspaper?,[],[]
3855275,Enock is the producer of webikyori along with noburo ninyenda katare.,[],[]
3855362,E Question Obukoko Obukurya Emondi Below Ebitakuri Nimbwitisa The customer is called,[],[]
3855376,"E Kansharwire ebihima, where can I ask?",[],[]
3855409,And that's where you need to do your homework.,[],[]
3855438,Chickens and cakes for sale.,['chickens'],['livestock']
3855495,E. Nimbaasa is no match for coffee twig borer and is no match for ALEX IBANDA.,[],[]
3855531,E Ibanda Mwine Branch is located here.,[],[]
3855537,"It's a very powerful weapon, but it's not a weapon.",[],[]
3855556,Q..where..unauzaje..we will find you..I am the one who saved you.,[],[]
3855573,E Nimbuza is committed to building thousands of jobs.,[],[]
3855578,"I'm the only one in my family with a broken heart and a broken heart, and I'm the only one with a broken heart and a broken heart, and I'm the only one with a broken heart.",[],[]
3855597,He asked me the name of Bicori.,[],[]
3855622,The Bible teaches us to live in harmony with God's Word.,[],[]
3855640,What is the meaning of life?,[],[]
3855655,"E Ebihaza Byanje Nibiragara Ebirabyo Nkoreki ,Amos Kamwenge is also known as E Ebihaza Byanje Nibiragara Ebirabyo Nkoreki ,Amos Kamwenge .",[],[]
3855675,Does the investigator want to know how to fix the problem?,[],[]
3855691,S Nikitaka Kubanda Kunde Kamasai Nikiangasi Ninatumia Mboleakani and Nanimbekugani? is that what you want?,[],[]
3855706,"And a question my friends often ask is how many of them will wake up and tell them that the light has begun, ""Where do you give me music now?""",[],[]
3855739,"In the Bible, we all find a tree of happiness.",[],[]
3855763,I'd like to do the same thing as a salesman.,[],[]
3855814,"I've been told to have a heart attack card, and I'm sure I'll get it Ed Allan.",[],[]
3855817,What's the name of the old goat?,['goat'],['livestock']
3855858,It's a great way to get to the top of the food chain.,[],[]
3855897,"It is the new Michele's bike, the Nikkaihahi and the Zingahi Shillings, which weighs 100 kg.",[],[]
3855927,And now the goats are trying to get a drink like a cockroach.,[],[]
3855982,What's my job to do?,[],[]
3855989,E Enkoko Zange is reading the Amahuli.,[],[]
3856012,"When I was growing up, I used my disability skills to help me.",[],[]
3856012,"When I was growing up, I used my disability skills to help me.",[],[]
3856020,"Whether you're a woman or a woman, you're probably wondering if you're going to be able to make a difference in someone's life if you're not writing to each other.",[],[]
3856051,I asked the chicken for how many years it would grow up not to abide by the Laws of Heaven Buhweju Ngarukamu?,"['chicken', 'grow']","['livestock', 'actions']"
3856066,S tapataje soko la French beans after planting.,['beans'],['crops']
3856120,Enoch is the father of the family.,[],[]
3856153,The plane is growing my corn on the farm.How can I drive them out and help my corn?,"['corn', 'farm']","['crops', 'actions']"
3856153,The plane is growing my corn on the farm.How can I drive them out and help my corn?,"['corn', 'farm']","['crops', 'actions']"
3856179,"NINYEDA KURISA, ENKOOKO AND EPUNU MUMPE OBUHABUZI FUNUKA is written and directed by NB,KAMARA,DANIEL.",[],[]
3856179,"NINYEDA KURISA, ENKOOKO AND EPUNU MUMPE OBUHABUZI FUNUKA is written and directed by NB,KAMARA,DANIEL.",[],[]
3856191,E Bainomugisha posiano is called District ebeyi yebihimba kegwire tukoreki,[],[]
3856201,E Nine Israel was pardoned by Omuri Mitooma District Hariho Owabire Nabuza Ngwayine Ente Tekuzara Agiguze Agure Erikuzara,[],[]
3856209,"He is the wife of Joseph Joseph, 17 years old, and has a life expectancy of less than 10 years, Zirababuka ZIBEZACINECE MURABASAKUMPAMUBAZIKI ENAMBA0702605731",[],[]
3856210,Why have I been ill for so long?,[],[]
3856221,"E,Ahabwekiebibihigwanibyoramaamaamababibikiribito?63",[],[]
3856223,E ekooko zamahuri nozimanya ota is common nozigura.,[],[]
3856250,"Yes, I'm going to ask you if I'm going to kill you or not.",[],[]
3856252,E.N.O.C.E.K.E.N.O.C.E.N.O.C.E.N.O.C.E.N.O.C.E.N.O.C.E.N.O.C.E.E.N.O.C.E.E.N.O.C.E.E.N.O.C.E.E.N.O.C.E.E.E.N.O.C.E.E.E.N.O.C.E.E.E.N.O.C.E.E.E.E.E.E.E.E.E.E.E.N.C.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E.E. is the,[],[]
3856256,And the new power of my friends and friends will bring you peace of mind by Nikiretuwaki Jonath Buhweju.,[],[]
3856268,E Kanimpinga has four conka kanizijunda and has three karikahe nibera Rukungiri.,[],[]
3856271,S nikoi kissed the mixes.,[],[]
3856295,Are you going to be able to walk around with your friends? by Alinda J Kuruga Kyenjojo- Nyabirongo- Bigando.,[],[]
3856303,I've been using the wisdom to build an ecosystem for years.,[],[]
3856337,It is the work of BURI AHARIZINGAHI.,[],[]
3856372,S.KUKU of the Beast.,[],[]
3856372,S.KUKU of the Beast.,[],[]
3856451,His name is Besigye Joanah.,[],[]
3856481,It's a sacred commitment to friendship.,[],[]
3856483,"S,xhamba lagu la xukuma I wanted to cut the tomato side where magojwa yaezd kuxubua tomatoes from the xukuma.",[],[]
3856492,Wouldn't you like to have time to prepare such a meal?,[],[]
3856492,Wouldn't you like to have time to prepare such a meal?,[],[]
3856495,What kind of assistance do other farmers use to help their customers?,[],[]
3856522,"In addition to KUNU KWG, we have been given the opportunity to work with the NAZO ZITITANDIRES to work with the UNITED STATES OBURWAIRE BENTE NGUNI KYIFURUTO, OMBAZI NIGUHA DAMYANO TUMUHIMBISE KWG D.",[],[]
