term,frequency,example_1,example_2,example_3,category,definition
plant,105,"If I plant corn pila fertilizer, and then I use a mixture of D A P and urea, will it grow?",E NIMBUSA ABBY'S FAMILY to plant the seeds of SHAHO NIZGAHE and DISMA MURYARUHANZI VILLAGE,"If I don't plant potatoes, the vitamin doesn't work well, is there milk? or what should I do?",actions,To sow or cultivate crops; farmers ask about timing or soil issues.
seed,60,The seed of the seedco Duma has extracted how much acre is Bungoma.,The watermeronies grow as seeds and grow as a shrub growing from seed to seed.,What kind of Indian seed does it make from clay soil? by farmer Michael.,inputs,"Planting seed; farmers ask about quality, price, and types."
beans,60,The price of rice and beans is 600 for Ambrose Joy.,What causes mashimoshimo in beans?,S tapataje soko la French beans after planting.,crops,"Common bean crop; farmers discuss prices, diseases, and yield."
farm,52,There are a lot of bees in my farm. what should I do now?,The plane is growing my corn on the farm.How can I drive them out and help my corn?,The plane is growing my corn on the farm.How can I drive them out and help my corn?,actions,"Farmer’s land; often referenced for pests, weeds, or crop issues."
fertilizer,41,"If I plant corn pila fertilizer, and then I use a mixture of D A P and urea, will it grow?","For an acre of land where I have planted corn, how much fertilizer will I need to improve my crop?","For an acre of land where I have planted corn, how much fertilizer will I need to improve my crop?",inputs,Crop nutrient input such as DAP or urea; used to improve yields.
disease,39,What kind of disease of the tomato causes the rot of the tomato if the spider is fertile after the tomato if it is still young?,The chicken's ability to live in the cold and with what disease.,Can this deadly foot-and-mouth disease be controlled in any way?,disease,Crop or livestock illnesses; farmers ask about causes and treatments.
feed,34,It's not enough for a farmer to feed a dog when he's still a kid.,And the chickens are going to feed on the grass.,"I want to feed my cow close to giving birth Natena Hako with so many minutes Now what can I do just for a week,",inputs,Animal feed; relates to livestock nutrition and preparation.
maize,28,"How long after the mixture is mixed, is the maize suitable?",I asked for the green color for the maize hu7bixhwa and nn ?? and nn dawa??,SMSs are the seeds of the maize variety that are part of the zapwani family.,crops,"Maize crop; related to seed varieties, fertilizer rates, and disease."
potato,25,"What are some good potato seeds to plant this season,",Is it possible to use rosasol p for onions if it is for nuts? and also for potato seeds waru ?,S Potato seeds and nitatayarishaje shamba!,crops,Potato crop; questions relate to seeds and fertilizer.
field,19,E AMAZINA JOSEPH NAKOZESA GREEN OGARNIC MANURE TABIRASUBA to work in the field 0702605731,"S, I'd like to know when you should start preparing the field for the beginning of the year.","In my field I have become a blessing, and a black one grows in the midst of blessing and medicine, for I am able to resist my father's wrath.",soil,Agricultural field; refers to land preparation and crop performance.
harvest,18,"Farmer Pamela asks her to plant her corn, but even if she keeps the beans still yellow, so that she can finally harvest a good crop?",I'm going to go to India and look at it in yellow and fertilizer and I'm going to make this a good harvest.,It's enough to start a crop harvest.,actions,Collecting mature crops; farmers ask about timing and productivity.
green,17,E.lugensawo of green paper was tested in the mail.,E AMAZINA JOSEPH NAKOZESA GREEN OGARNIC MANURE TABIRASUBA to work in the field 0702605731,I asked for the green color for the maize hu7bixhwa and nn ?? and nn dawa??,crops,Usually refers to crop color or fertilizer quality.
rain,13,What effect does acid rain have on plants?,Question How long will I use my hand to dry the branches and rain?,Is it better to grow a beanfield in the rain?,weather,Rainfall’s effect on crops and timing of planting.
spray,12,"What is the best medicine for grass cleaning, and when to spray it?",Q What kind of medication should I use to spray?,Q. What medication can I use to spray tomatoes in the winter?,actions,Applying pesticides or herbicides; farmers ask about what chemical to use.
chicks,9,Q KARI chicks are sold in bungoma?,S. niko has two-month-old chicks and they bleed from the sides of the ears.,"S, the chicks of the day are trying to avoid what foods.",livestock,"Young chickens; farmers ask about disease, feeding, or buying chicks."
sweet,8,Q. Where is the sweet melon naeza lipata market?,"It's a nice, sweet, spicy onion with big fruit and doesn't mix well with mangoes.",I am a pumpkin grower and I would like to use the potato branch as a potato but the problem is that if I plant the potato branch the first time it will be sweet and then I will repeat the second time I get it if it is .shida what?,crops,Sweet melon or sweet potato; used in crop market questions.
sunflower,5,Where is the sunflower seed planted?,Can you survive the sunflower with friends or friends at work?,Can you survive the sunflower with friends or friends at work?,crops,Oilseed crop; questions about planting and growth.
soil,4,What kind of Indian seed does it make from clay soil? by farmer Michael.,The black cotton soil is typically used for planting crops.,The name of the D.C. area is NINAFA on CLAY SAND SOIL.,soil,Soil type and suitability for different crops.
bean,3,"If you planted a bean on an acre, how much grain would you get, and how many grains of beans would it be worth? - Farmer Michael.",Insects that attack the bean's roots are destroyed by whatever medication is used.,The drug is Spray Bean.,crops,Bean crop; questions relate to pests and medication.
weather,3,E Mbuza Kika Ki is one of the finest castles in the world and is well suited to winter weather conditions.,E Mbuza Kika Ki is one of the finest castles in the world and is well suited to winter weather conditions.,Which cornseed is best suited for rainy and dry weather?,weather,Climate affecting crops; farmers worry about rainy or dry seasons.
